respondent_id,group,purchase_intention,willing_to_try,price_sensitivity,coffee_frequency
1,Control,,,,
2,Control,,,,
3,Control,,,,
4,Control,,,,
5,Control,,,,
6,Control,,,,
7,Control,,,,
8,Control,,,,
9,Control,,,,
10,Control,,,,
11,Control,,,,
12,Control,,,,
13,Control,,,,
14,Control,,,,
15,Control,,,,
16,Control,,,,
17,Control,,,,
18,Control,,,,
19,Control,,,,
20,Control,,,,
21,Control,,,,
22,Control,,,,
23,Control,,,,
24,Control,,,,
25,Control,,,,
26,Control,,,,
27,Control,,,,
28,Control,,,,
29,Control,,,,
30,Control,,,,
31,Control,,,,
32,Control,,,,
33,Control,,,,
34,Control,,,,
35,Control,,,,
36,Control,,,,
37,Control,,,,
38,Control,,,,
39,Control,,,,
40,Control,,,,
41,Control,,,,
42,Control,,,,
43,Control,,,,
44,Control,,,,
45,Control,,,,
46,Control,,,,
47,Control,,,,
48,Control,,,,
49,Control,,,,
50,Control,,,,
51,Partnership_Info,,,,
52,Partnership_Info,,,,
53,Partnership_Info,,,,
54,Partnership_Info,,,,
55,Partnership_Info,,,,
56,Partnership_Info,,,,
57,Partnership_Info,,,,
58,Partnership_Info,,,,
59,Partnership_Info,,,,
60,Partnership_Info,,,,
61,Partnership_Info,,,,
62,Partnership_Info,,,,
63,Partnership_Info,,,,
64,Partnership_Info,,,,
65,Partnership_Info,,,,
66,Partnership_Info,,,,
67,Partnership_Info,,,,
68,Partnership_Info,,,,
69,Partnership_Info,,,,
70,Partnership_Info,,,,
71,Partnership_Info,,,,
72,Partnership_Info,,,,
73,Partnership_Info,,,,
74,Partnership_Info,,,,
75,Partnership_Info,,,,
76,Partnership_Info,,,,
77,Partnership_Info,,,,
78,Partnership_Info,,,,
79,Partnership_Info,,,,
80,Partnership_Info,,,,
81,Partnership_Info,,,,
82,Partnership_Info,,,,
83,Partnership_Info,,,,
84,Partnership_Info,,,,
85,Partnership_Info,,,,
86,Partnership_Info,,,,
87,Partnership_Info,,,,
88,Partnership_Info,,,,
89,Partnership_Info,,,,
90,Partnership_Info,,,,
91,Partnership_Info,,,,
92,Partnership_Info,,,,
93,Partnership_Info,,,,
94,Partnership_Info,,,,
95,Partnership_Info,,,,
96,Partnership_Info,,,,
97,Partnership_Info,,,,
98,Partnership_Info,,,,
99,Partnership_Info,,,,
100,Partnership_Info,,,,
