city,city_tier,cafe_density,income_index,competitor_count,ecommerce_pct
Delhi,1,74.9816047538945,108275.00072434708,33.29984854528513,76.97316968394074
Mumbai,1,66.24074561769746,80459.80821176709,16.452090304204987,82.3235229154987
Bengaluru,1,84.04460046972835,99782.5402228616,15.51461235739506,84.39819704323989
Chennai,1,93.29770563201689,82431.86887373966,19.54562418017752,68.66809019706868
Kolkata,1,72.1696897183815,93366.47510712832,25.798625466052894,70.82458280396084
Hyderabad,1,84.47411578889518,79882.28512282146,22.30361621338045,72.32723686587383
Pune,1,78.24279936868143,102481.15864875547,19.991844553958995,75.28468876827223
Ahmedabad,1,83.6965827544817,76625.76444519992,30.18862129753596,68.41048247374583
Jaipur,2,21.951547789558383,68722.13843133333,11.690688297671034,56.167946962329225
Lucknow,2,29.13841307520112,47441.8028501596,9.158097238609413,48.80304987479202
Surat,2,23.66114704534337,57379.42275278176,3.3094966900369656,58.186408041575646
Indore,2,27.763399448000506,61563.05710884955,5.805399684804699,50.40136042355621
Nagpur,2,36.40130838029839,49621.361388138175,11.726261649881026,55.502656467222295
Coimbatore,2,48.18496824692568,67370.68376069122,8.381099809299766,58.437484700462335
Chandigarh,2,22.654775061557583,49899.57156047863,3.4070456001948424,46.50660661526528
Kochi,2,31.660318690684463,51783.7257943474,10.458637582367365,47.135066533871786
Bhopal,2,28.428035290621423,58567.40207895621,4.268318024772864,56.0439396150808
Patna,2,22.236519310393124,69672.17341501293,9.950202923669917,43.97431363068345
Bhubaneswar,2,20.165663513708072,65386.53571137085,9.361716094628555,54.58014336081975
Visakhapatnam,2,43.13811040057837,46851.11629335226,6.226191556898454,42.317381190502594
Guwahati,3,6.3,42038.54,1.75,36.47
Ranchi,3,21.63,37692.93,2.0,23.44
Varanasi,3,9.56,36997.89,2.72,38.07
Jodhpur,3,11.48,29186.85,1.15,40.19
Srinagar,3,8.63,36138.23,3.72,22.5
Amritsar,3,15.21,45102.33,0.92,32.97
Kanpur,3,20.46,30397.05,2.09,37.01
