city,monthlyCoffeeSpend,income,young_share,adoption_signal,purchase_intention,premium_brand_share,online_share,premium_type_share,city_tier,cafe_density,income_index,competitor_count,ecommerce_pct,spending_score,city_strength_score,adoption_score,trend_score,market_entry_score,rank
Delhi,599.5414392303953,49694.22006480263,0.5436982520699172,0.6324626865671642,0.7051517939282429,0.38086476540938363,0.1453541858325667,0.0,1,74.9816047538945,108275.00072434708,33.29984854528513,76.97316968394074,1.0,0.7044196290835802,0.14608097238359113,0.5011690251166099,0.5879174066459454,1
Hyderabad,585.59477124183,48556.470588235294,0.5071895424836601,0.6235294117647059,0.6758169934640523,0.38562091503267976,0.15555555555555556,0.0,1,84.47411578889518,79882.28512282146,22.30361621338045,72.32723686587383,0.8726813515821014,0.6104675526913949,0.12532581895033468,0.5011690251166099,0.5274109370851101,2
Pune,571.1873350923482,50643.00791556728,0.49868073878627966,0.6068601583113457,0.6827176781002638,0.3575197889182058,0.14907651715039577,0.0,1,78.24279936868143,102481.15864875547,19.991844553958995,75.28468876827223,0.7411563666019512,0.6700643973490424,0.08659725404073128,0.5011690251166099,0.4997467607770837,3
Ahmedabad,580.5844155844156,50118.01948051948,0.5016233766233766,0.6055194805194806,0.6785714285714286,0.3717532467532468,0.1444805194805195,0.0,1,83.6965827544817,76625.76444519992,30.18862129753596,68.41048247374583,0.8269419885372518,0.5788219950197547,0.08348238587759563,0.5011690251166099,0.497603848637803,4
Bengaluru,560.6562193927522,49522.428991185116,0.4887365328109696,0.6235294117647059,0.683643486777669,0.3731635651322233,0.15670910871694418,0.0,1,84.04460046972835,99782.5402228616,15.51461235739506,84.39819704323989,0.6450181765837767,0.7141973491298418,0.12532581895033468,0.5011690251166099,0.49642759244514073,5
Chennai,573.6604361370717,48505.14018691589,0.5124610591900312,0.5809968847352025,0.6697819314641744,0.3629283489096573,0.1838006230529595,0.0,1,93.29770563201689,82431.86887373966,19.54562418017752,68.66809019706868,0.7637332202757633,0.6361481353793912,0.026507732199153172,0.5011690251166099,0.4818895282427294,6
Kolkata,554.6635367762128,47018.9358372457,0.5461658841940532,0.6181533646322379,0.6815336463223787,0.3427230046948357,0.15336463223787167,0.0,1,72.1696897183815,93366.47510712832,25.798625466052894,70.82458280396084,0.5903111847947139,0.6228273258947998,0.11283536213957077,0.5011690251166099,0.45678572448642357,7
Mumbai,558.9892051030422,48512.29326323508,0.4867517173699706,0.6123650637880275,0.689892051030422,0.3974484789008832,0.12463199214916584,0.0,1,66.24074561769746,80459.80821176709,16.452090304204987,82.3235229154987,0.6298000609425918,0.58191694340751,0.09938709430990818,0.5011690251166099,0.45306828094415497,8
Lucknow,582.3107569721116,50206.57370517928,0.5219123505976095,0.5976095617529881,0.6862549800796812,0.3466135458167331,0.1454183266932271,0.0,2,29.13841307520112,47441.8028501596,9.158097238609413,48.80304987479202,0.8427016991985747,0.22722258827515956,0.06510485006083462,0.5011690251166099,0.4090495406627947,9
Coimbatore,556.7581047381547,49650.3740648379,0.5461346633416458,0.6084788029925187,0.6920199501246883,0.3765586034912718,0.1371571072319202,0.0,2,48.18496824692568,67370.68376069122,8.381099809299766,58.437484700462335,0.6094324230827776,0.40657028627403946,0.0903579374916003,0.5011690251166099,0.4018824179912568,10
